"alias";"original tittel"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Psykologisk institutt";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse, Sosialantropologisk institutt";"Norges teknisk-naturvitenskapelige universitet"
"Norges teknisk-naturvitenskapelige universitet, Fakultet for samfunnsvitenskap og teknologiledelse";"Norges teknisk-naturvitenskapelige universitet"
"Det historisk-filosofiske fakultet";"Norges teknisk-naturvitenskapelige universitet"
"Det medisinske fakultet";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for arkitektur og billedkunst";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for informasjonsteknologi, matematikk og elektroteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for ingeniørvitenskap og teknologi";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for naturvitenskap og teknologi";"Norges teknisk-naturvitenskapelige universitet"
"Fakultet for samfunnsvitenskap og teknologiledelse";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for biologi";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for bioteknologi";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for bygg, anlegg og transport";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for datateknikk og informasjonsvitenskap";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for elektronikk og telekommunikasjon";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for elkraftteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for energi- og prosessteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for fysikk";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for geologi og bergteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for industriell økonomi og teknologiledelse";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for kjemi";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for kjemisk prosessteknologi";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for konstruksjonsteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for marin teknikk";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for matematiske fag";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for materialteknologi";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for petroleumsteknologi og anvendt geofysikk";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for produksjons- og kvalitetsteknikk";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for produktdesign";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for produktutvikling og materialer";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for samfunnsøkonomi";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for teknisk kybernetikk";"Norges teknisk-naturvitenskapelige universitet"
"Institutt for telematikk";"Norges teknisk-naturvitenskapelige universitet"
